date,time,pickup_location,dropoff_location,trip_distance_km,trip_duration_min,surge_multiplier,driver_utilization_percent,weather_condition,dispatching_base_number,fare_amount,trip_frequency_bucket
01-01-2022,17:01,Secunderabad,Gachibowli,20.5,60.38,2.13,42,Clear,HYD001,917.32,High
01-01-2022,07:14,LB Nagar,Miyapur,32.0,89.8,1.28,91,Clear,HYD001,815.64,Low
01-01-2022,18:10,Secunderabad,Jubilee Hills,12.84,37.32,1.8,94,Cloudy,HYD003,497.74,High
01-01-2022,16:51,Ameerpet,LB Nagar,20.93,36.35,1.46,95,Clear,HYD003,585.92,Low
01-01-2022,16:45,Banjara Hills,Ameerpet,3.94,7.59,1.53,69,Cloudy,HYD003,176.6,Medium
01-01-2022,08:22,Charminar,Secunderabad,12.43,21.99,1.86,50,Clear,HYD004,486.79,High
01-01-2022,11:59,Miyapur,LB Nagar,32.0,81.66,1.36,65,Cloudy,HYD003,864.46,Medium
01-01-2022,06:58,Madhapur,Hitech City,2.0,4.53,1.27,87,Cloudy,HYD005,104.59,Low
01-01-2022,15:47,Madhapur,Jubilee Hills,3.79,9.17,1.45,43,Clear,HYD001,163.84,Low
01-01-2022,08:10,Miyapur,Jubilee Hills,12.97,31.71,1.81,40,Clear,HYD001,507.4,High
01-01-2022,17:34,Gachibowli,Secunderabad,20.93,54.62,1.82,72,Clear,HYD002,787.0,High
01-01-2022,14:06,Miyapur,Gachibowli,9.64,21.72,1.22,73,Clear,HYD001,275.03,Low
01-01-2022,16:31,Ameerpet,Begumpet,2.66,4.85,1.18,45,Cloudy,HYD001,114.9,Low
01-01-2022,18:52,Banjara Hills,Madhapur,10.35,30.77,1.95,67,Clear,HYD002,484.06,High
01-01-2022,21:48,Secunderabad,Charminar,13.63,33.0,1.44,55,Clear,HYD002,416.44,Medium
01-01-2022,06:01,Madhapur,LB Nagar,26.63,73.48,1.29,95,Clear,HYD003,709.92,Low
01-01-2022,06:15,Gachibowli,Secunderabad,21.58,47.66,1.45,70,Clear,HYD004,601.61,Low
01-01-2022,08:06,Miyapur,Jubilee Hills,12.34,29.63,1.72,43,Cloudy,HYD004,464.97,High
01-01-2022,18:51,Banjara Hills,Gachibowli,14.01,31.0,1.83,44,Clear,HYD004,551.58,High
01-01-2022,19:54,LB Nagar,Banjara Hills,16.68,28.6,2.36,50,Cloudy,HYD004,791.84,High
01-01-2022,14:13,Jubilee Hills,Ameerpet,5.63,18.73,1.52,84,Clear,HYD005,234.41,Medium
01-01-2022,17:31,Begumpet,Gachibowli,15.93,27.73,2.1,77,Clear,HYD004,637.29,High
01-01-2022,14:54,LB Nagar,Begumpet,18.17,40.93,1.13,65,Cloudy,HYD001,425.29,Low
01-01-2022,22:36,Charminar,Miyapur,28.07,59.03,1.37,53,Clear,HYD003,753.51,Low
01-01-2022,09:25,Begumpet,Secunderabad,5.22,12.15,1.97,76,Cloudy,HYD001,281.07,High
01-01-2022,06:13,LB Nagar,Gachibowli,30.43,76.29,1.23,74,Clear,HYD003,722.67,Low
01-01-2022,16:51,Miyapur,LB Nagar,32.0,60.21,1.51,47,Clear,HYD001,862.37,Medium
01-01-2022,18:09,Gachibowli,Hitech City,5.02,9.97,2.0,94,Clear,HYD001,270.22,High
01-01-2022,07:27,Gachibowli,Ameerpet,12.93,24.94,1.37,67,Clear,HYD005,369.27,Low
01-01-2022,00:04,Secunderabad,Begumpet,5.12,9.54,1.4,90,Clear,HYD001,187.47,Low
01-01-2022,21:13,Miyapur,Charminar,28.48,71.16,1.57,55,Clear,HYD002,889.48,Medium
01-01-2022,22:51,Begumpet,Kukatpally,8.82,17.34,1.53,91,Clear,HYD002,314.11,Medium
01-01-2022,09:50,Secunderabad,Banjara Hills,8.21,26.4,1.88,92,Clear,HYD002,379.91,High
01-01-2022,09:42,Charminar,Kukatpally,20.95,38.45,1.83,93,Cloudy,HYD005,727.9,High
01-01-2022,10:01,Banjara Hills,Hitech City,10.62,18.54,1.68,60,Clear,HYD004,387.46,Medium
02-01-2022,16:32,Banjara Hills,Kukatpally,13.5,38.15,1.34,83,Clear,HYD002,406.67,Low
02-01-2022,11:04,Miyapur,Hitech City,8.28,16.97,1.43,60,Clear,HYD004,277.32,Medium
02-01-2022,17:35,Begumpet,Gachibowli,16.35,28.86,2.24,75,Clear,HYD001,710.21,High
02-01-2022,10:13,Jubilee Hills,Miyapur,13.0,33.22,1.99,90,Clear,HYD002,574.02,Medium
02-01-2022,17:18,LB Nagar,Secunderabad,17.1,43.29,2.18,52,Cloudy,HYD002,755.43,High
02-01-2022,02:15,Kukatpally,Miyapur,9.08,28.32,1.61,71,Clear,HYD004,359.11,Medium
02-01-2022,09:41,Secunderabad,Ameerpet,7.84,14.42,1.95,84,Cloudy,HYD005,362.32,High
02-01-2022,13:35,Charminar,Banjara Hills,9.17,17.4,1.68,68,Clear,HYD005,355.89,Medium
02-01-2022,19:57,LB Nagar,Jubilee Hills,26.55,58.32,2.11,55,Cloudy,HYD003,1053.67,High
02-01-2022,18:33,Kukatpally,Secunderabad,13.46,31.7,1.82,45,Clear,HYD002,536.87,High
02-01-2022,08:24,Secunderabad,Begumpet,5.28,16.59,1.9,66,Clear,HYD004,276.1,High
02-01-2022,21:37,Secunderabad,Ameerpet,7.79,15.07,1.21,94,Clear,HYD004,224.27,Medium
